Region,Product,Quarter,Year,Revenue_AUD,Units_Sold,Sales_Rep,Customer_Segment
Central,CloudSync,Q4,2023,71400,357,Lisa Rodriguez,Enterprise
Central,DataVault,Q1,2023,122600,613,Lisa Rodriguez,Enterprise
Central,DataVault,Q2,2023,127100,635,Lisa Rodriguez,Enterprise
Central,DataVault,Q3,2023,131800,659,Lisa Rodriguez,Enterprise
Central,DataVault,Q4,2023,125300,626,Lisa Rodriguez,Enterprise
Metro,CloudSync,Q1,2023,105800,529,Alex Patel,Enterprise
Metro,CloudSync,Q2,2023,109200,546,Alex Patel,Enterprise
Metro,CloudSync,Q3,2023,112600,563,Alex Patel,Enterprise
Metro,CloudSync,Q4,2023,107400,537,Alex Patel,Enterprise
Metro,DataVault,Q1,2023,185200,926,Alex Patel,Enterprise
Metro,DataVault,Q2,2023,191500,957,Alex Patel,Enterprise
Metro,DataVault,Q3,2023,197300,986,Alex Patel,Enterprise
Metro,DataVault,Q4,2023,188600,943,Alex Patel,Enterprise
